epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,2503.54,0.93433,0.77885,1.17765,0.94583,0.94509,0.97791,0.8066,0.69474,0.46192,1.03832,0.000421001,0.000421001,0.000421001
153,2515.9,0.91037,0.7294,1.1746,0.93921,0.94409,0.98254,0.8174,0.67699,0.44893,1.02873,0.000412749,0.000412749,0.000412749
154,2532.09,0.9716,0.81424,1.21316,0.93109,0.96064,0.98515,0.82547,0.63907,0.44456,1.02643,0.000404498,0.000404498,0.000404498
155,2546.59,0.89128,0.72787,1.16636,0.94521,0.9384,0.98499,0.82884,0.64605,0.4402,1.02569,0.000396246,0.000396246,0.000396246
156,2558.98,0.88795,0.75532,1.16798,0.93633,0.95374,0.98173,0.82606,0.61454,0.44953,1.01623,0.000387994,0.000387994,0.000387994
157,2572.92,0.90994,0.79443,1.22054,0.93888,0.94749,0.98401,0.82743,0.60091,0.43998,1.016,0.000379743,0.000379743,0.000379743
158,2584.87,0.9021,0.76818,1.18741,0.95724,0.92489,0.98452,0.82143,0.63424,0.43001,1.02465,0.000371491,0.000371491,0.000371491
159,2597.67,0.92342,0.73833,1.17904,0.93158,0.96245,0.98457,0.82787,0.63429,0.42407,1.02849,0.000363239,0.000363239,0.000363239
160,2612.05,0.84821,0.71313,1.14062,0.93953,0.95833,0.98553,0.84006,0.63184,0.43492,1.02034,0.000354988,0.000354988,0.000354988
161,2628.3,0.87514,0.72931,1.17443,0.9581,0.94578,0.98454,0.84518,0.61972,0.43484,1.00828,0.000346736,0.000346736,0.000346736
162,2646.89,0.84825,0.68786,1.17098,0.96057,0.94997,0.98462,0.83713,0.60836,0.42443,1.0058,0.000338484,0.000338484,0.000338484
163,2659.09,0.84794,0.69408,1.15907,0.95032,0.94901,0.98522,0.83677,0.60249,0.42315,0.99968,0.000330233,0.000330233,0.000330233
164,2673.82,0.88153,0.71198,1.18392,0.92346,0.96988,0.98249,0.83379,0.61933,0.43148,0.99897,0.000321981,0.000321981,0.000321981
165,2687.98,0.83693,0.7039,1.13525,0.92695,0.96245,0.9824,0.83393,0.59713,0.43137,0.99803,0.000313729,0.000313729,0.000313729
166,2701.54,0.89016,0.73373,1.19494,0.93335,0.96169,0.9837,0.84328,0.58662,0.41288,0.99748,0.000305478,0.000305478,0.000305478
167,2716.16,0.93589,0.73505,1.21659,0.94456,0.9512,0.98506,0.83908,0.57087,0.41152,0.98991,0.000297226,0.000297226,0.000297226
168,2730.39,0.8925,0.70998,1.15592,0.94085,0.96338,0.9842,0.84027,0.58426,0.41411,0.99038,0.000288974,0.000288974,0.000288974
169,2746.15,0.84487,0.724,1.19384,0.94518,0.96021,0.98501,0.84398,0.59261,0.41191,0.98558,0.000280723,0.000280723,0.000280723
170,2761.94,0.8402,0.65649,1.1525,0.93524,0.97544,0.98574,0.84825,0.57417,0.40697,0.9795,0.000272471,0.000272471,0.000272471
171,2778.26,0.87001,0.70338,1.16033,0.94106,0.97015,0.98524,0.84923,0.56904,0.40582,0.98387,0.00026422,0.00026422,0.00026422
172,2792.44,0.82535,0.62518,1.12902,0.92752,0.97809,0.9868,0.85708,0.5486,0.39741,0.97466,0.000255968,0.000255968,0.000255968
173,2811.35,0.82798,0.6766,1.1067,0.92913,0.97537,0.98661,0.85928,0.5474,0.39019,0.97707,0.000247716,0.000247716,0.000247716
174,2828.64,0.8346,0.64622,1.13307,0.93267,0.9804,0.98668,0.85694,0.55334,0.39851,0.97104,0.000239465,0.000239465,0.000239465
175,2841.08,0.7984,0.6847,1.11859,0.93999,0.96014,0.98449,0.85086,0.56249,0.39776,0.9704,0.000231213,0.000231213,0.000231213
176,2854.15,0.87538,0.74925,1.21637,0.94109,0.9646,0.98676,0.85496,0.5582,0.39611,0.96469,0.000222961,0.000222961,0.000222961
177,2866.88,0.87371,0.79793,1.19748,0.94226,0.96245,0.98724,0.86268,0.54717,0.3901,0.95766,0.00021471,0.00021471,0.00021471
